year,pollutant,industry,emission_value
1992,NMVOC,Mining and quarrying,353.038
1992,NMVOC,Other service activities,10.771
1992,NMVOC,"Professional, scientific and technical activities",11.828
1992,NMVOC,Public administration and defence; compulsory social security,22.824
1992,NMVOC,Real estate activities,2.64
1992,NMVOC,Transport and storage,83.989
1992,NMVOC,"Water supply; sewerage, waste management and remediation activities",16.574
1992,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,175.496
1993,NMVOC,"Agriculture, forestry and fishing",206.127
1993,NMVOC,"Arts, entertainment and recreation",3.028
1993,NMVOC,Construction,96.404
1993,NMVOC,Education,2.897
1993,NMVOC,"Electricity, gas, steam and air conditioning supply",48.926
1993,NMVOC,Financial and insurance activities,0.974
1993,NMVOC,Human health and social work activities,5.365
1993,NMVOC,Information and communication,6.007
1993,NMVOC,Manufacturing,717.831
1993,NMVOC,Mining and quarrying,308.465
1993,NMVOC,Other service activities,10.068
1993,NMVOC,"Professional, scientific and technical activities",11.228
1993,NMVOC,Public administration and defence; compulsory social security,22.732
1993,NMVOC,Real estate activities,2.48
1993,NMVOC,Transport and storage,81.387
1993,NMVOC,"Water supply; sewerage, waste management and remediation activities",16.461
1993,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,169.253
1994,NMVOC,"Agriculture, forestry and fishing",205.366
1994,NMVOC,"Arts, entertainment and recreation",2.973
1994,NMVOC,Construction,94.343
1994,NMVOC,Education,2.788
1994,NMVOC,"Electricity, gas, steam and air conditioning supply",48.383
1994,NMVOC,Financial and insurance activities,0.959
1994,NMVOC,Human health and social work activities,5.382
1994,NMVOC,Information and communication,5.929
1994,NMVOC,Manufacturing,721.983
1994,NMVOC,Mining and quarrying,260.359
1994,NMVOC,Other service activities,9.468
1994,NMVOC,"Professional, scientific and technical activities",11.105
1994,NMVOC,Public administration and defence; compulsory social security,15.825
1994,NMVOC,Real estate activities,2.417
1994,NMVOC,Transport and storage,79.287
1994,NMVOC,"Water supply; sewerage, waste management and remediation activities",16.41
1994,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,165.986
1995,NMVOC,"Agriculture, forestry and fishing",197.831
1995,NMVOC,"Arts, entertainment and recreation",2.933
1995,NMVOC,Construction,90.425
1995,NMVOC,Education,2.824
1995,NMVOC,"Electricity, gas, steam and air conditioning supply",48.608
1995,NMVOC,Financial and insurance activities,0.933
1995,NMVOC,Human health and social work activities,5.5
1995,NMVOC,Information and communication,5.766
1995,NMVOC,Manufacturing,671.942
1995,NMVOC,Mining and quarrying,276.469
1995,NMVOC,Other service activities,8.854
1995,NMVOC,"Professional, scientific and technical activities",10.894
1995,NMVOC,Public administration and defence; compulsory social security,12.795
1995,NMVOC,Real estate activities,2.321
1995,NMVOC,Transport and storage,79.363
1995,NMVOC,"Water supply; sewerage, waste management and remediation activities",16.567
1995,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,158.416
1996,NMVOC,"Agriculture, forestry and fishing",202.779
1996,NMVOC,"Arts, entertainment and recreation",2.731
1996,NMVOC,Construction,86.797
1996,NMVOC,Education,2.902
1996,NMVOC,"Electricity, gas, steam and air conditioning supply",46.959
1996,NMVOC,Financial and insurance activities,0.825
1996,NMVOC,Human health and social work activities,5.378
1996,NMVOC,Information and communication,5.151
1996,NMVOC,Manufacturing,642.843
1996,NMVOC,Mining and quarrying,269.529
1996,NMVOC,Other service activities,8.031
1996,NMVOC,"Professional, scientific and technical activities",9.438
1996,NMVOC,Public administration and defence; compulsory social security,12.13
1996,NMVOC,Real estate activities,2.06
1996,NMVOC,Transport and storage,79.807
1996,NMVOC,"Water supply; sewerage, waste management and remediation activities",15.996
1996,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,150.649
1997,NMVOC,"Agriculture, forestry and fishing",208.898
1997,NMVOC,"Arts, entertainment and recreation",2.467
1997,NMVOC,Construction,82.307
1997,NMVOC,Education,2.942
1997,NMVOC,"Electricity, gas, steam and air conditioning supply",64.035
1997,NMVOC,Financial and insurance activities,0.703
1997,NMVOC,Human health and social work activities,4.892
1997,NMVOC,Information and communication,4.437
1997,NMVOC,Manufacturing,602.438
1997,NMVOC,Mining and quarrying,262.348
1997,NMVOC,Other service activities,7.132
1997,NMVOC,"Professional, scientific and technical activities",8.144
1997,NMVOC,Public administration and defence; compulsory social security,9.642
1997,NMVOC,Real estate activities,1.758
1997,NMVOC,Transport and storage,81.939
1997,NMVOC,"Water supply; sewerage, waste management and remediation activities",15.479
1997,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,148.289
1998,NMVOC,"Agriculture, forestry and fishing",204.887
1998,NMVOC,"Arts, entertainment and recreation",2.302
1998,NMVOC,Construction,80.252
1998,NMVOC,Education,2.783
1998,NMVOC,"Electricity, gas, steam and air conditioning supply",67.323
1998,NMVOC,Financial and insurance activities,0.647
1998,NMVOC,Human health and social work activities,4.841
1998,NMVOC,Information and communication,4.115
1998,NMVOC,Manufacturing,557.985
1998,NMVOC,Mining and quarrying,276.563
1998,NMVOC,Other service activities,6.391
1998,NMVOC,"Professional, scientific and technical activities",7.526
1998,NMVOC,Public administration and defence; compulsory social security,9.215
1998,NMVOC,Real estate activities,1.618
1998,NMVOC,Transport and storage,80.498
1998,NMVOC,"Water supply; sewerage, waste management and remediation activities",15.956
1998,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,134.884
1999,NMVOC,"Agriculture, forestry and fishing",207.076
1999,NMVOC,"Arts, entertainment and recreation",2.167
1999,NMVOC,Construction,75.585
1999,NMVOC,Education,2.63
1999,NMVOC,"Electricity, gas, steam and air conditioning supply",70.02
1999,NMVOC,Financial and insurance activities,0.587
1999,NMVOC,Human health and social work activities,4.682
1999,NMVOC,Information and communication,3.727
1999,NMVOC,Manufacturing,477.304
1999,NMVOC,Mining and quarrying,228.15
1999,NMVOC,Other service activities,5.695
1999,NMVOC,"Professional, scientific and technical activities",6.773
1999,NMVOC,Public administration and defence; compulsory social security,8.589
1999,NMVOC,Real estate activities,1.456
1999,NMVOC,Transport and storage,73.758
1999,NMVOC,"Water supply; sewerage, waste management and remediation activities",15.082
1999,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,106.023
2000,NMVOC,"Agriculture, forestry and fishing",200.766
2000,NMVOC,"Arts, entertainment and recreation",2.028
2000,NMVOC,Construction,73.438
2000,NMVOC,Education,2.41
2000,NMVOC,"Electricity, gas, steam and air conditioning supply",70.926
2000,NMVOC,Financial and insurance activities,0.524
2000,NMVOC,Human health and social work activities,4.413
2000,NMVOC,Information and communication,3.31
2000,NMVOC,Manufacturing,434.318
2000,NMVOC,Mining and quarrying,226.023
2000,NMVOC,Other service activities,4.225
2000,NMVOC,"Professional, scientific and technical activities",5.91
2000,NMVOC,Public administration and defence; compulsory social security,7.833
2000,NMVOC,Real estate activities,1.284
2000,NMVOC,Transport and storage,70.281
2000,NMVOC,"Water supply; sewerage, waste management and remediation activities",14.187
2000,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,97.649
2001,NMVOC,"Agriculture, forestry and fishing",199.917
2001,NMVOC,"Arts, entertainment and recreation",1.861
2001,NMVOC,Construction,70.699
2001,NMVOC,Education,2.147
2001,NMVOC,"Electricity, gas, steam and air conditioning supply",65.207
2001,NMVOC,Financial and insurance activities,0.423
2001,NMVOC,Human health and social work activities,4.286
2001,NMVOC,Information and communication,2.681
2001,NMVOC,Manufacturing,387.523
2001,NMVOC,Mining and quarrying,232.145
2001,NMVOC,Other service activities,3.382
2001,NMVOC,"Professional, scientific and technical activities",4.755
2001,NMVOC,Public administration and defence; compulsory social security,7.023
2001,NMVOC,Real estate activities,1.044
2001,NMVOC,Transport and storage,71.901
2001,NMVOC,"Water supply; sewerage, waste management and remediation activities",13.654
2001,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,92.198
2002,NMVOC,"Agriculture, forestry and fishing",197.717
2002,NMVOC,"Arts, entertainment and recreation",1.64
2002,NMVOC,Construction,65.995
2002,NMVOC,Education,1.766
2002,NMVOC,"Electricity, gas, steam and air conditioning supply",63.17
2002,NMVOC,Financial and insurance activities,0.315
2002,NMVOC,Human health and social work activities,3.726
2002,NMVOC,Information and communication,2.021
2002,NMVOC,Manufacturing,365.987
2002,NMVOC,Mining and quarrying,220.119
2002,NMVOC,Other service activities,2.881
2002,NMVOC,"Professional, scientific and technical activities",3.679
2002,NMVOC,Public administration and defence; compulsory social security,6.157
2002,NMVOC,Real estate activities,0.791
2002,NMVOC,Transport and storage,63.624
2002,NMVOC,"Water supply; sewerage, waste management and remediation activities",13.023
2002,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,84.715
2003,NMVOC,"Agriculture, forestry and fishing",200.102
2003,NMVOC,"Arts, entertainment and recreation",1.548
2003,NMVOC,Construction,62.981
2003,NMVOC,Education,1.638
2003,NMVOC,"Electricity, gas, steam and air conditioning supply",73.18
2003,NMVOC,Financial and insurance activities,0.25
2003,NMVOC,Human health and social work activities,3.476
2003,NMVOC,Information and communication,1.613
2003,NMVOC,Manufacturing,353.687
2003,NMVOC,Mining and quarrying,192.128
2003,NMVOC,Other service activities,2.634
2003,NMVOC,"Professional, scientific and technical activities",3.029
2003,NMVOC,Public administration and defence; compulsory social security,5.788
2003,NMVOC,Real estate activities,0.648
2003,NMVOC,Transport and storage,61.425
2003,NMVOC,"Water supply; sewerage, waste management and remediation activities",12.422
2003,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,81.231
2004,NMVOC,"Agriculture, forestry and fishing",204.041
2004,NMVOC,"Arts, entertainment and recreation",1.446
2004,NMVOC,Construction,60.672
2004,NMVOC,Education,1.527
2004,NMVOC,"Electricity, gas, steam and air conditioning supply",54.106
2004,NMVOC,Financial and insurance activities,0.212
2004,NMVOC,Human health and social work activities,3.574
2004,NMVOC,Information and communication,1.375
2004,NMVOC,Manufacturing,336.933
2004,NMVOC,Mining and quarrying,169.735
2004,NMVOC,Other service activities,2.429
2004,NMVOC,"Professional, scientific and technical activities",2.773
2004,NMVOC,Public administration and defence; compulsory social security,5.422
2004,NMVOC,Real estate activities,0.564
2004,NMVOC,Transport and storage,58.083
2004,NMVOC,"Water supply; sewerage, waste management and remediation activities",11.488
2004,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,76.178
2005,NMVOC,"Agriculture, forestry and fishing",202.041
2005,NMVOC,"Arts, entertainment and recreation",1.35
2005,NMVOC,Construction,56.393
2005,NMVOC,Education,1.47
2005,NMVOC,"Electricity, gas, steam and air conditioning supply",53.08
2005,NMVOC,Financial and insurance activities,0.177
2005,NMVOC,Human health and social work activities,3.806
2005,NMVOC,Information and communication,1.17
2005,NMVOC,Manufacturing,326.195
2005,NMVOC,Mining and quarrying,145.791
2005,NMVOC,Other service activities,2.262
2005,NMVOC,"Professional, scientific and technical activities",2.376
2005,NMVOC,Public administration and defence; compulsory social security,4.572
2005,NMVOC,Real estate activities,0.493
2005,NMVOC,Transport and storage,55.225
2005,NMVOC,"Water supply; sewerage, waste management and remediation activities",10.989
2005,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,68.789
2006,NMVOC,"Agriculture, forestry and fishing",200.909
2006,NMVOC,"Arts, entertainment and recreation",1.214
2006,NMVOC,Construction,55.959
2006,NMVOC,Education,1.5
2006,NMVOC,"Electricity, gas, steam and air conditioning supply",50.175
2006,NMVOC,Financial and insurance activities,0.148
2006,NMVOC,Human health and social work activities,3.431
2006,NMVOC,Information and communication,0.97
2006,NMVOC,Manufacturing,322.058
2006,NMVOC,Mining and quarrying,132.79
2006,NMVOC,Other service activities,1.7
2006,NMVOC,"Professional, scientific and technical activities",1.803
2006,NMVOC,Public administration and defence; compulsory social security,4.349
2006,NMVOC,Real estate activities,0.43
2006,NMVOC,Transport and storage,45.231
2006,NMVOC,"Water supply; sewerage, waste management and remediation activities",10.688
2006,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,63.831
2007,NMVOC,"Agriculture, forestry and fishing",201.294
2007,NMVOC,"Arts, entertainment and recreation",1.106
2007,NMVOC,Construction,53.999
2007,NMVOC,Education,1.407
2007,NMVOC,"Electricity, gas, steam and air conditioning supply",48.273
2007,NMVOC,Financial and insurance activities,0.132
2007,NMVOC,Human health and social work activities,3.379
2007,NMVOC,Information and communication,0.844
2007,NMVOC,Manufacturing,315.881
2007,NMVOC,Mining and quarrying,127.054
2007,NMVOC,Other service activities,1.539
2007,NMVOC,"Professional, scientific and technical activities",1.516
2007,NMVOC,Public administration and defence; compulsory social security,4.126
2007,NMVOC,Real estate activities,0.386
2007,NMVOC,Transport and storage,45.44
2007,NMVOC,"Water supply; sewerage, waste management and remediation activities",10.04
2007,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,58.636
2008,NMVOC,"Agriculture, forestry and fishing",202.285
2008,NMVOC,"Arts, entertainment and recreation",1
2008,NMVOC,Construction,48.108
2008,NMVOC,Education,1.157
2008,NMVOC,"Electricity, gas, steam and air conditioning supply",44.261
2008,NMVOC,Financial and insurance activities,0.118
2008,NMVOC,Human health and social work activities,3.311
2008,NMVOC,Information and communication,0.736
2008,NMVOC,Manufacturing,288.281
2008,NMVOC,Mining and quarrying,117.916
2008,NMVOC,Other service activities,1.442
2008,NMVOC,"Professional, scientific and technical activities",1.305
2008,NMVOC,Public administration and defence; compulsory social security,3.577
2008,NMVOC,Real estate activities,0.365
2008,NMVOC,Transport and storage,42.511
2008,NMVOC,"Water supply; sewerage, waste management and remediation activities",9.109
2008,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,49.482
2009,NMVOC,"Agriculture, forestry and fishing",199.207
2009,NMVOC,"Arts, entertainment and recreation",0.876
2009,NMVOC,Construction,39.772
2009,NMVOC,Education,1.095
2009,NMVOC,"Electricity, gas, steam and air conditioning supply",44.465
2009,NMVOC,Financial and insurance activities,9.30E-02
2009,NMVOC,Human health and social work activities,3.257
2009,NMVOC,Information and communication,0.579
2009,NMVOC,Manufacturing,257.569
2009,NMVOC,Mining and quarrying,107.433
2009,NMVOC,Other service activities,1.29
2009,NMVOC,"Professional, scientific and technical activities",1.029
2009,NMVOC,Public administration and defence; compulsory social security,3.277
2009,NMVOC,Real estate activities,0.3
2009,NMVOC,Transport and storage,36.947
2009,NMVOC,"Water supply; sewerage, waste management and remediation activities",8.331
2009,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,45.292
2010,NMVOC,"Agriculture, forestry and fishing",198.272
2010,NMVOC,"Arts, entertainment and recreation",0.829
2010,NMVOC,Construction,39.11
2010,NMVOC,Education,1.159
2010,NMVOC,"Electricity, gas, steam and air conditioning supply",43.206
2010,NMVOC,Financial and insurance activities,9.40E-02
2010,NMVOC,Human health and social work activities,3.269
2010,NMVOC,Information and communication,0.584
2010,NMVOC,Manufacturing,258.562
2010,NMVOC,Mining and quarrying,87.627
2010,NMVOC,Other service activities,1.22
2010,NMVOC,"Professional, scientific and technical activities",1.008
2010,NMVOC,Public administration and defence; compulsory social security,3.249
2010,NMVOC,Real estate activities,0.308
2010,NMVOC,Transport and storage,39.351
2010,NMVOC,"Water supply; sewerage, waste management and remediation activities",7.74
2010,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,39.394
2011,NMVOC,"Agriculture, forestry and fishing",196.772
2011,NMVOC,"Arts, entertainment and recreation",0.744
2011,NMVOC,Construction,38.793
2011,NMVOC,Education,0.999
2011,NMVOC,"Electricity, gas, steam and air conditioning supply",40.028
2011,NMVOC,Financial and insurance activities,7.70E-02
2011,NMVOC,Human health and social work activities,3.113
2011,NMVOC,Information and communication,0.464
2011,NMVOC,Manufacturing,262.696
2011,NMVOC,Mining and quarrying,92.529
2011,NMVOC,Other service activities,1.091
2011,NMVOC,"Professional, scientific and technical activities",0.839
2011,NMVOC,Public administration and defence; compulsory social security,2.835
2011,NMVOC,Real estate activities,0.254
2011,NMVOC,Transport and storage,37.136
2011,NMVOC,"Water supply; sewerage, waste management and remediation activities",7.238
2011,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,37.488
2012,NMVOC,"Agriculture, forestry and fishing",197.573
2012,NMVOC,"Arts, entertainment and recreation",0.707
2012,NMVOC,Construction,38.011
2012,NMVOC,Education,1.072
2012,NMVOC,"Electricity, gas, steam and air conditioning supply",37.742
2012,NMVOC,Financial and insurance activities,7.20E-02
2012,NMVOC,Human health and social work activities,3.24
2012,NMVOC,Information and communication,0.424
2012,NMVOC,Manufacturing,260.874
2012,NMVOC,Mining and quarrying,87.116
2012,NMVOC,Other service activities,1.022
2012,NMVOC,"Professional, scientific and technical activities",0.781
2012,NMVOC,Public administration and defence; compulsory social security,2.717
2012,NMVOC,Real estate activities,0.252
2012,NMVOC,Transport and storage,35.061
2012,NMVOC,"Water supply; sewerage, waste management and remediation activities",7.069
2012,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,36.1
2013,NMVOC,"Agriculture, forestry and fishing",198.084
2013,NMVOC,"Arts, entertainment and recreation",0.663
2013,NMVOC,Construction,37.999
2013,NMVOC,Education,1.037
2013,NMVOC,"Electricity, gas, steam and air conditioning supply",34.415
2013,NMVOC,Financial and insurance activities,6.40E-02
2013,NMVOC,Human health and social work activities,3.383
2013,NMVOC,Information and communication,0.369
2013,NMVOC,Manufacturing,253.916
2013,NMVOC,Mining and quarrying,73.868
2013,NMVOC,Other service activities,0.996
2013,NMVOC,"Professional, scientific and technical activities",0.61
2013,NMVOC,Public administration and defence; compulsory social security,2.44
2013,NMVOC,Real estate activities,0.235
2013,NMVOC,Transport and storage,32.81
2013,NMVOC,"Water supply; sewerage, waste management and remediation activities",6.555
2013,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,33.166
2014,NMVOC,"Agriculture, forestry and fishing",205.727
2014,NMVOC,"Arts, entertainment and recreation",0.606
2014,NMVOC,Construction,40.321
2014,NMVOC,Education,0.925
2014,NMVOC,"Electricity, gas, steam and air conditioning supply",31.744
2014,NMVOC,Financial and insurance activities,5.40E-02
2014,NMVOC,Human health and social work activities,3.248
2014,NMVOC,Information and communication,0.31
2014,NMVOC,Manufacturing,250.616
2014,NMVOC,Mining and quarrying,68.004
2014,NMVOC,Other service activities,0.955
2014,NMVOC,"Professional, scientific and technical activities",0.527
2014,NMVOC,Public administration and defence; compulsory social security,2.123
2014,NMVOC,Real estate activities,0.204
2014,NMVOC,Transport and storage,33.698
2014,NMVOC,"Water supply; sewerage, waste management and remediation activities",6.094
2014,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,33.259
2015,NMVOC,"Agriculture, forestry and fishing",209.278
2015,NMVOC,"Arts, entertainment and recreation",0.602
2015,NMVOC,Construction,41.911
2015,NMVOC,Education,0.97
2015,NMVOC,"Electricity, gas, steam and air conditioning supply",30.746
2015,NMVOC,Financial and insurance activities,5.60E-02
2015,NMVOC,Human health and social work activities,3.217
2015,NMVOC,Information and communication,0.315
2015,NMVOC,Manufacturing,251.092
2015,NMVOC,Mining and quarrying,65.786
2015,NMVOC,Other service activities,0.964
2015,NMVOC,"Professional, scientific and technical activities",0.542
2015,NMVOC,Public administration and defence; compulsory social security,1.916
2015,NMVOC,Real estate activities,0.214
2015,NMVOC,Transport and storage,35.077
2015,NMVOC,"Water supply; sewerage, waste management and remediation activities",5.898
2015,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,31.982
2016,NMVOC,"Agriculture, forestry and fishing",204.809
2016,NMVOC,"Arts, entertainment and recreation",0.604
2016,NMVOC,Construction,40.848
2016,NMVOC,Education,0.975
2016,NMVOC,"Electricity, gas, steam and air conditioning supply",29.09
2016,NMVOC,Financial and insurance activities,5.50E-02
2016,NMVOC,Human health and social work activities,3.338
2016,NMVOC,Information and communication,0.31
2016,NMVOC,Manufacturing,253.231
2016,NMVOC,Mining and quarrying,54.758
2016,NMVOC,Other service activities,0.969
2016,NMVOC,"Professional, scientific and technical activities",0.536
2016,NMVOC,Public administration and defence; compulsory social security,1.888
2016,NMVOC,Real estate activities,0.215
2016,NMVOC,Transport and storage,37.608
2016,NMVOC,"Water supply; sewerage, waste management and remediation activities",5.713
2016,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,31.722
2017,NMVOC,"Agriculture, forestry and fishing",211.095
2017,NMVOC,"Arts, entertainment and recreation",0.595
2017,NMVOC,Construction,39.636
2017,NMVOC,Education,1.073
2017,NMVOC,"Electricity, gas, steam and air conditioning supply",28.298
2017,NMVOC,Financial and insurance activities,0.05
2017,NMVOC,Human health and social work activities,3.363
2017,NMVOC,Information and communication,0.275
2017,NMVOC,Manufacturing,256.968
2017,NMVOC,Mining and quarrying,59.51
2017,NMVOC,Other service activities,0.937
2017,NMVOC,"Professional, scientific and technical activities",0.477
2017,NMVOC,Public administration and defence; compulsory social security,1.883
2017,NMVOC,Real estate activities,0.198
2017,NMVOC,Transport and storage,29.287
2017,NMVOC,"Water supply; sewerage, waste management and remediation activities",5.757
2017,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,31.055
2018,NMVOC,"Agriculture, forestry and fishing",214.48
2018,NMVOC,"Arts, entertainment and recreation",0.591
2018,NMVOC,Construction,39.079
2018,NMVOC,Education,1.201
2018,NMVOC,"Electricity, gas, steam and air conditioning supply",25.775
2018,NMVOC,Financial and insurance activities,4.70E-02
2018,NMVOC,Human health and social work activities,3.74
2018,NMVOC,Information and communication,0.253
2018,NMVOC,Manufacturing,256.479
2018,NMVOC,Mining and quarrying,77.745
2018,NMVOC,Other service activities,0.915
2018,NMVOC,"Professional, scientific and technical activities",0.442
2018,NMVOC,Public administration and defence; compulsory social security,2.016
2018,NMVOC,Real estate activities,0.193
2018,NMVOC,Transport and storage,31.6
2018,NMVOC,"Water supply; sewerage, waste management and remediation activities",5.756
2018,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,30.692
2019,NMVOC,"Agriculture, forestry and fishing",212.305
2019,NMVOC,"Arts, entertainment and recreation",0.583
2019,NMVOC,Construction,38.481
2019,NMVOC,Education,1.05
2019,NMVOC,"Electricity, gas, steam and air conditioning supply",24.667
2019,NMVOC,Financial and insurance activities,4.60E-02
2019,NMVOC,Human health and social work activities,3.651
2019,NMVOC,Information and communication,0.243
2019,NMVOC,Manufacturing,254.601
2019,NMVOC,Mining and quarrying,72.839
2019,NMVOC,Other service activities,1.011
2019,NMVOC,"Professional, scientific and technical activities",0.449
2019,NMVOC,Public administration and defence; compulsory social security,1.872
2019,NMVOC,Real estate activities,0.189
2019,NMVOC,Transport and storage,32.241
2019,NMVOC,"Water supply; sewerage, waste management and remediation activities",5.571
2019,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,30.503
2020,NMVOC,"Agriculture, forestry and fishing",208.995
2020,NMVOC,"Arts, entertainment and recreation",0.533
2020,NMVOC,Construction,30.62
2020,NMVOC,Education,14.178
2020,NMVOC,"Electricity, gas, steam and air conditioning supply",22.811
2020,NMVOC,Financial and insurance activities,3.10E-02
2020,NMVOC,Human health and social work activities,29.269
2020,NMVOC,Information and communication,0.152
2020,NMVOC,Manufacturing,232.484
2020,NMVOC,Mining and quarrying,58.876
2020,NMVOC,Other service activities,0.831
2020,NMVOC,"Professional, scientific and technical activities",0.272
2020,NMVOC,Public administration and defence; compulsory social security,7.819
2020,NMVOC,Real estate activities,0.147
2020,NMVOC,Transport and storage,31.694
2020,NMVOC,"Water supply; sewerage, waste management and remediation activities",5.252
2020,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,31.181
2021,NMVOC,"Agriculture, forestry and fishing",209.604
2021,NMVOC,"Arts, entertainment and recreation",0.562
2021,NMVOC,Construction,33.916
2021,NMVOC,Education,4.356
2021,NMVOC,"Electricity, gas, steam and air conditioning supply",22.102
2021,NMVOC,Financial and insurance activities,3.60E-02
2021,NMVOC,Human health and social work activities,13.442
2021,NMVOC,Information and communication,0.192
2021,NMVOC,Manufacturing,242.104
2021,NMVOC,Mining and quarrying,50.016
2021,NMVOC,Other service activities,0.875
2021,NMVOC,"Professional, scientific and technical activities",0.33
2021,NMVOC,Public administration and defence; compulsory social security,3.686
2021,NMVOC,Real estate activities,0.164
2021,NMVOC,Transport and storage,27.648
2021,NMVOC,"Water supply; sewerage, waste management and remediation activities",5.292
2021,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,30.748
2022,NMVOC,"Agriculture, forestry and fishing",208.759
2022,NMVOC,"Arts, entertainment and recreation",0.561
2022,NMVOC,Construction,33.858
2022,NMVOC,Education,0.856
2022,NMVOC,"Electricity, gas, steam and air conditioning supply",21.633
2022,NMVOC,Financial and insurance activities,3.70E-02
2022,NMVOC,Human health and social work activities,7.23
2022,NMVOC,Information and communication,0.195
2022,NMVOC,Manufacturing,240.325
2022,NMVOC,Mining and quarrying,39.988
2022,NMVOC,Other service activities,0.87
2022,NMVOC,"Professional, scientific and technical activities",0.337
2022,NMVOC,Public administration and defence; compulsory social security,1.695
2022,NMVOC,Real estate activities,0.161
2022,NMVOC,Transport and storage,35.25
2022,NMVOC,"Water supply; sewerage, waste management and remediation activities",5.291
2022,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,29.008
2023,NMVOC,"Agriculture, forestry and fishing",206.213
2023,NMVOC,"Arts, entertainment and recreation",0.582
2023,NMVOC,Construction,34.942
2023,NMVOC,Education,0.83
2023,NMVOC,"Electricity, gas, steam and air conditioning supply",19.84
2023,NMVOC,Financial and insurance activities,3.60E-02
2023,NMVOC,Human health and social work activities,7.109
2023,NMVOC,Information and communication,0.196
2023,NMVOC,Manufacturing,239.419
2023,NMVOC,Mining and quarrying,37.291
2023,NMVOC,Other service activities,0.872
2023,NMVOC,"Professional, scientific and technical activities",0.333
2023,NMVOC,Public administration and defence; compulsory social security,1.747
2023,NMVOC,Real estate activities,0.157
2023,NMVOC,Transport and storage,33.575
2023,NMVOC,"Water supply; sewerage, waste management and remediation activities",5.21
2023,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,27.304
NA,NMVOC,"Agriculture, forestry and fishing",NA
NA,NMVOC,"Arts, entertainment and recreation",NA
NA,NMVOC,Construction,NA
NA,NMVOC,Education,NA
NA,NMVOC,"Electricity, gas, steam and air conditioning supply",NA
NA,NMVOC,Financial and insurance activities,NA
NA,NMVOC,Human health and social work activities,NA
NA,NMVOC,Information and communication,NA
NA,NMVOC,Manufacturing,NA
NA,NMVOC,Mining and quarrying,NA
NA,NMVOC,Other service activities,NA
NA,NMVOC,"Professional, scientific and technical activities",NA
NA,NMVOC,Public administration and defence; compulsory social security,NA
NA,NMVOC,Real estate activities,NA
NA,NMVOC,Transport and storage,NA
NA,NMVOC,"Water supply; sewerage, waste management and remediation activities",NA
NA,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,NA
1990,PM10,"Agriculture, forestry and fishing",42.204
1990,PM10,"Arts, entertainment and recreation",0.581
1990,PM10,Construction,58.409
1990,PM10,Education,2.183
1990,PM10,"Electricity, gas, steam and air conditioning supply",70.423
1990,PM10,Financial and insurance activities,7.30E-02
1990,PM10,Human health and social work activities,1.809
1990,PM10,Information and communication,0.277
1990,PM10,Manufacturing,59.29
1990,PM10,Mining and quarrying,32.045
1990,PM10,Other service activities,0.396
1990,PM10,"Professional, scientific and technical activities",0.417
1990,PM10,Public administration and defence; compulsory social security,3.251
1990,PM10,Real estate activities,0.107
1990,PM10,Transport and storage,95.861
1990,PM10,"Water supply; sewerage, waste management and remediation activities",2.581
1990,PM10,Wholesale and retail trade; repair of motor vehicles and motorcycles,4.804
1991,PM10,"Agriculture, forestry and fishing",39.952
1991,PM10,"Arts, entertainment and recreation",0.567
1991,PM10,Construction,58.883
1991,PM10,Education,2.087
