year,pollutant,industry,emission_value
2003,Benzene,Information and communication,4.30E-02
2003,Benzene,Manufacturing,2.823
2003,Benzene,Mining and quarrying,0.694
2003,Benzene,Other service activities,2.10E-02
2003,Benzene,"Professional, scientific and technical activities",7.80E-02
2003,Benzene,Public administration and defence; compulsory social security,0.217
2003,Benzene,Real estate activities,1.80E-02
2003,Benzene,Transport and storage,4.191
2003,Benzene,"Water supply; sewerage, waste management and remediation activities",1.134
2003,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.394
2004,Benzene,"Agriculture, forestry and fishing",0.263
2004,Benzene,"Arts, entertainment and recreation",4.40E-02
2004,Benzene,Construction,0.303
2004,Benzene,Education,2.10E-02
2004,Benzene,"Electricity, gas, steam and air conditioning supply",0.55
2004,Benzene,Financial and insurance activities,6.00E-03
2004,Benzene,Human health and social work activities,3.20E-02
2004,Benzene,Information and communication,3.90E-02
2004,Benzene,Manufacturing,2.973
2004,Benzene,Mining and quarrying,0.764
2004,Benzene,Other service activities,1.90E-02
2004,Benzene,"Professional, scientific and technical activities",7.40E-02
2004,Benzene,Public administration and defence; compulsory social security,0.222
2004,Benzene,Real estate activities,1.60E-02
2004,Benzene,Transport and storage,4.131
2004,Benzene,"Water supply; sewerage, waste management and remediation activities",1.098
2004,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.364
2005,Benzene,"Agriculture, forestry and fishing",0.257
2005,Benzene,"Arts, entertainment and recreation",3.90E-02
2005,Benzene,Construction,0.27
2005,Benzene,Education,1.90E-02
2005,Benzene,"Electricity, gas, steam and air conditioning supply",0.547
2005,Benzene,Financial and insurance activities,5.00E-03
2005,Benzene,Human health and social work activities,3.30E-02
2005,Benzene,Information and communication,3.40E-02
2005,Benzene,Manufacturing,2.931
2005,Benzene,Mining and quarrying,0.599
2005,Benzene,Other service activities,1.70E-02
2005,Benzene,"Professional, scientific and technical activities",6.50E-02
2005,Benzene,Public administration and defence; compulsory social security,0.192
2005,Benzene,Real estate activities,1.40E-02
2005,Benzene,Transport and storage,3.905
2005,Benzene,"Water supply; sewerage, waste management and remediation activities",1.096
2005,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.327
2006,Benzene,"Agriculture, forestry and fishing",0.235
2006,Benzene,"Arts, entertainment and recreation",3.40E-02
2006,Benzene,Construction,0.249
2006,Benzene,Education,1.90E-02
2006,Benzene,"Electricity, gas, steam and air conditioning supply",0.504
2006,Benzene,Financial and insurance activities,5.00E-03
2006,Benzene,Human health and social work activities,2.70E-02
2006,Benzene,Information and communication,2.80E-02
2006,Benzene,Manufacturing,2.876
2006,Benzene,Mining and quarrying,0.576
2006,Benzene,Other service activities,1.40E-02
2006,Benzene,"Professional, scientific and technical activities",5.10E-02
2006,Benzene,Public administration and defence; compulsory social security,0.184
2006,Benzene,Real estate activities,1.20E-02
2006,Benzene,Transport and storage,2.595
2006,Benzene,"Water supply; sewerage, waste management and remediation activities",1.078
2006,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.28
2007,Benzene,"Agriculture, forestry and fishing",0.225
2007,Benzene,"Arts, entertainment and recreation",2.90E-02
2007,Benzene,Construction,0.24
2007,Benzene,Education,1.70E-02
2007,Benzene,"Electricity, gas, steam and air conditioning supply",0.505
2007,Benzene,Financial and insurance activities,4.00E-03
2007,Benzene,Human health and social work activities,2.50E-02
2007,Benzene,Information and communication,2.40E-02
2007,Benzene,Manufacturing,2.827
2007,Benzene,Mining and quarrying,0.579
2007,Benzene,Other service activities,1.20E-02
2007,Benzene,"Professional, scientific and technical activities",4.40E-02
2007,Benzene,Public administration and defence; compulsory social security,0.181
2007,Benzene,Real estate activities,1.10E-02
2007,Benzene,Transport and storage,2.968
2007,Benzene,"Water supply; sewerage, waste management and remediation activities",1.043
2007,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.254
2008,Benzene,"Agriculture, forestry and fishing",0.23
2008,Benzene,"Arts, entertainment and recreation",2.50E-02
2008,Benzene,Construction,0.205
2008,Benzene,Education,1.60E-02
2008,Benzene,"Electricity, gas, steam and air conditioning supply",0.46
2008,Benzene,Financial and insurance activities,3.00E-03
2008,Benzene,Human health and social work activities,2.50E-02
2008,Benzene,Information and communication,0.02
2008,Benzene,Manufacturing,2.559
2008,Benzene,Mining and quarrying,0.536
2008,Benzene,Other service activities,0.01
2008,Benzene,"Professional, scientific and technical activities",3.60E-02
2008,Benzene,Public administration and defence; compulsory social security,0.17
2008,Benzene,Real estate activities,1.10E-02
2008,Benzene,Transport and storage,2.65
2008,Benzene,"Water supply; sewerage, waste management and remediation activities",1.007
2008,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.215
2009,Benzene,"Agriculture, forestry and fishing",0.209
2009,Benzene,"Arts, entertainment and recreation",1.90E-02
2009,Benzene,Construction,0.159
2009,Benzene,Education,1.40E-02
2009,Benzene,"Electricity, gas, steam and air conditioning supply",0.467
2009,Benzene,Financial and insurance activities,3.00E-03
2009,Benzene,Human health and social work activities,2.20E-02
2009,Benzene,Information and communication,1.40E-02
2009,Benzene,Manufacturing,2.214
2009,Benzene,Mining and quarrying,0.55
2009,Benzene,Other service activities,8.00E-03
2009,Benzene,"Professional, scientific and technical activities",2.60E-02
2009,Benzene,Public administration and defence; compulsory social security,0.162
2009,Benzene,Real estate activities,8.00E-03
2009,Benzene,Transport and storage,2.254
2009,Benzene,"Water supply; sewerage, waste management and remediation activities",0.996
2009,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.164
2010,Benzene,"Agriculture, forestry and fishing",0.2
2010,Benzene,"Arts, entertainment and recreation",1.70E-02
2010,Benzene,Construction,0.172
2010,Benzene,Education,1.50E-02
2010,Benzene,"Electricity, gas, steam and air conditioning supply",0.446
